epoch,binary_crossentropy,dice_coef,iou_score,learning_rate,loss,pixel_accuracy,sensitivity,specificity,val_binary_crossentropy,val_dice_coef,val_iou_score,val_loss,val_pixel_accuracy,val_sensitivity,val_specificity
0,0.6963935494422913,0.015018085949122906,0.007567097432911396,9.999999747378752e-05,0.8406875729560852,0.6215574145317078,0.5019048452377319,0.6224428415298462,0.6292714476585388,0.015249967575073242,0.007684669923037291,0.8070107698440552,0.9145800471305847,0.40122556686401367,0.9183936715126038
1,0.44984912872314453,0.015263310633599758,0.0076920269057154655,9.999999747378752e-05,0.7172864079475403,0.9629669189453125,0.04877477139234543,0.9694143533706665,0.5024414658546448,0.015344901010394096,0.007733014412224293,0.7435483336448669,0.9923588633537292,0.0001283860474359244,0.9997917413711548
2,0.3676033914089203,0.01534559577703476,0.007733890321105719,9.999999747378752e-05,0.6761274337768555,0.9902445673942566,0.0023353800643235445,0.9972729086875916,0.4025532901287079,0.01479088794440031,0.0074521922506392,0.6939036250114441,0.992742657661438,0.00014553553774021566,1.0
3,0.33057859539985657,0.015514219179749489,0.007819697260856628,9.999999747378752e-05,0.6575289368629456,0.9911862015724182,0.0008998332777991891,0.9982261657714844,0.3531714081764221,0.015161625109612942,0.007640526629984379,0.6690046787261963,0.992559552192688,0.00014245242346078157,1.0
4,0.3081706166267395,0.015549498610198498,0.007837682962417603,9.999999747378752e-05,0.6463130116462708,0.9920209050178528,0.00019704706210177392,0.9990320801734924,0.32862117886543274,0.015011133626103401,0.007564085070043802,0.6568050384521484,0.9926249384880066,0.00012945833441335708,1.0
5,0.2978697717189789,0.015635794028639793,0.007881714962422848,9.999999747378752e-05,0.6411184668540955,0.991339921951294,0.0012807721504941583,0.9983327984809875,0.28315022587776184,0.014635486528277397,0.007373652886599302,0.6342573761940002,0.9927864074707031,0.00013229875185061246,1.0
