epoch,binary_crossentropy,dice_coef,iou_score,learning_rate,loss,pixel_accuracy,sensitivity,specificity,val_binary_crossentropy,val_dice_coef,val_iou_score,val_loss,val_pixel_accuracy,val_sensitivity,val_specificity
0,0.7599000930786133,0.043402861803770065,0.022227594628930092,0.0005000000237487257,0.6697908043861389,0.8466618657112122,0.8585380911827087,0.8465737700462341,0.5371453762054443,0.037057243287563324,0.01888861693441868,0.6756153702735901,0.9450461268424988,0.4584018588066101,0.9486621618270874
1,0.5331008434295654,0.07702752202749252,0.040101975202560425,0.0005000000237487257,0.6463601589202881,0.9316514134407043,0.835964024066925,0.9323300123214722,0.2484629899263382,0.07022165507078171,0.036403656005859375,0.6524950265884399,0.9591056704521179,0.49872514605522156,0.9625293016433716
2,0.43110042810440063,0.11282077431678772,0.05985790118575096,0.0005000000237487257,0.621673047542572,0.9490368366241455,0.7691538333892822,0.9503175020217896,0.28811198472976685,0.11317116767168045,0.06003700941801071,0.6227391958236694,0.9607531428337097,0.5931630730628967,0.9634535312652588
3,0.34853485226631165,0.14982104301452637,0.081058569252491,0.0005000000237487257,0.5966395735740662,0.9619113206863403,0.6589510440826416,0.964076042175293,0.3526630699634552,0.13562656939029694,0.0728197991847992,0.6057508587837219,0.9597241878509521,0.5821725726127625,0.9625752568244934
4,0.2833431363105774,0.1802978664636612,0.09920558333396912,0.0005000000237487257,0.5760385394096375,0.9700537919998169,0.5755221843719482,0.9728623628616333,0.20312944054603577,0.185028538107872,0.10216449946165085,0.5763362050056458,0.9739189147949219,0.4984404146671295,0.9774357676506042
5,0.2537696659564972,0.19991369545459747,0.11118298768997192,0.0005000000237487257,0.5632762908935547,0.9736818671226501,0.5310162901878357,0.9768146872520447,0.5793857574462891,0.2017458975315094,0.11230667680501938,0.5620713829994202,0.963085949420929,0.7067369222640991,0.964992344379425
6,0.24445118010044098,0.20999425649642944,0.11746201664209366,0.0005000000237487257,0.5563083291053772,0.9748750925064087,0.5190837383270264,0.9780884981155396,0.21717722713947296,0.23457685112953186,0.13303717970848083,0.5399087071418762,0.9753838777542114,0.5521904230117798,0.9785443544387817
7,0.2428799271583557,0.21633853018283844,0.1214524433016777,0.0005000000237487257,0.5522308349609375,0.9756695628166199,0.5077593922615051,0.9789804816246033,0.24410122632980347,0.24437139928340912,0.1393164098262787,0.5323073267936707,0.9757946133613586,0.5473426580429077,0.9790533185005188
8,0.2500768005847931,0.2203291356563568,0.12395840883255005,0.0005000000237487257,0.5496587753295898,0.9754276275634766,0.5131324529647827,0.9787288308143616,0.3278951346874237,0.23594285547733307,0.13391020894050598,0.5364753007888794,0.9731795191764832,0.5734207034111023,0.9761971235275269
9,0.2449488341808319,0.22249671816825867,0.12537531554698944,0.0005000000237487257,0.5483347773551941,0.9767788648605347,0.49094074964523315,0.9802132248878479,0.2202574610710144,0.24395030736923218,0.1392025351524353,0.5333953499794006,0.9778827428817749,0.502558171749115,0.9814167022705078
