epoch,binary_crossentropy,dice_coef,iou_score,learning_rate,loss,pixel_accuracy,sensitivity,specificity,val_binary_crossentropy,val_dice_coef,val_iou_score,val_loss,val_pixel_accuracy,val_sensitivity,val_specificity
0,0.4986000955104828,0.016009245067834854,0.008070980198681355,9.999999747378752e-05,0.741295576095581,0.8583387732505798,0.28299203515052795,0.8624662160873413,0.9312426447868347,0.01576210744678974,0.007944553159177303,0.9577402472496033,0.11586584150791168,0.9987699389457703,0.10931436717510223
1,0.29510894417762756,0.01722211204469204,0.008688303641974926,9.999999747378752e-05,0.6389344930648804,0.979490339756012,0.10182347893714905,0.9856929183006287,0.5015062689781189,0.016508471220731735,0.008324187248945236,0.7424989342689514,0.9836031794548035,0.08855004608631134,0.9903072714805603
2,0.2294819951057434,0.0163862444460392,0.008263477124273777,9.999999747378752e-05,0.6065511703491211,0.9893501996994019,0.02033550851047039,0.9962437748908997,0.31234011054039,0.01496300008147955,0.007539925631135702,0.6487119197845459,0.992742657661438,0.00014553553774021566,1.0
3,0.20226112008094788,0.017583996057510376,0.008873013779520988,9.999999747378752e-05,0.5923336744308472,0.9918149709701538,0.0033480587881058455,0.9988418817520142,0.2571873664855957,0.014674405567348003,0.007393809501081705,0.6212562322616577,0.992559552192688,0.00014245242346078157,1.0
4,0.1874256432056427,0.019044624641537666,0.009617147035896778,9.999999747378752e-05,0.584190309047699,0.9921270608901978,0.005691515281796455,0.9991004467010498,0.2387813776731491,0.014670267701148987,0.007391645573079586,0.6120555996894836,0.9926249384880066,0.00012945833441335708,1.0
5,0.1778504103422165,0.020616214722394943,0.010419290512800217,9.999999747378752e-05,0.5786174535751343,0.9920169711112976,0.00893079861998558,0.998961865901947,0.19569124281406403,0.014077589847147465,0.007091444917023182,0.5908068418502808,0.9927864074707031,0.00013229875185061246,1.0
6,0.17082372307777405,0.022992148995399475,0.011633540503680706,9.999999747378752e-05,0.5739173293113708,0.9915431141853333,0.01619061827659607,0.9985338449478149,0.18029998242855072,0.014683425426483154,0.007399374153465033,0.5828192830085754,0.9925066828727722,0.00014126046153251082,1.0
7,0.16107827425003052,0.024320848286151886,0.012314382940530777,9.999999747378752e-05,0.5683627724647522,0.9918141961097717,0.01894739456474781,0.9986464977264404,0.1645856648683548,0.014515402726829052,0.007314392831176519,0.5750492811203003,0.9925972819328308,0.0001428320974810049,1.0
8,0.15449963510036469,0.026890307664871216,0.01363274548202753,9.999999747378752e-05,0.5638033151626587,0.9913277626037598,0.028846431523561478,0.9982073903083801,0.1563466489315033,0.014493598602712154,0.007303152699023485,0.5709265470504761,0.9926572442054749,0.00013002131890971214,1.0
9,0.14749906957149506,0.030031517148017883,0.015249292366206646,9.999999747378752e-05,0.5587143301963806,0.9901362061500549,0.07310160994529724,0.9966455698013306,0.1485566794872284,0.014720775187015533,0.007418554741889238,0.5669179558753967,0.9926061630249023,0.0001290040381718427,1.0
10,0.14285911619663239,0.03337045758962631,0.016973434016108513,9.999999747378752e-05,0.5547437071800232,0.9860284924507141,0.1794583648443222,0.9917896389961243,0.14049305021762848,0.014848527498543262,0.007484044414013624,0.5628371834754944,0.9925388097763062,0.00014184278552420437,1.0
11,0.13770359754562378,0.03734707832336426,0.0190340057015419,9.999999747378752e-05,0.5501781702041626,0.9820773005485535,0.2885243892669678,0.987019419670105,0.13565196096897125,0.015427992679178715,0.007778475526720285,0.5600628852844238,0.9924684166908264,0.0033669862896203995,0.9997859597206116
12,0.13319708406925201,0.040013350546360016,0.020421795547008514,9.999999747378752e-05,0.5466065406799316,0.9800124168395996,0.3453062176704407,0.9845075011253357,0.1268225610256195,0.016435112804174423,0.008289935998618603,0.5551937222480774,0.9920685887336731,0.008696099743247032,0.999460756778717
13,0.1285274624824524,0.043058838695287704,0.022009290754795074,9.999999747378752e-05,0.5427120923995972,0.9782242774963379,0.3902765214443207,0.9823511242866516,0.1255766600370407,0.029376300051808357,0.014913440681993961,0.5481001734733582,0.9868378043174744,0.15834017097949982,0.9929817318916321
14,0.12483915686607361,0.04765423387289047,0.02441665530204773,9.999999747378752e-05,0.5385860800743103,0.9760016202926636,0.43881359696388245,0.9798136353492737,0.11678876727819443,0.037070997059345245,0.01889529637992382,0.5395703315734863,0.985611617565155,0.21334972977638245,0.9912752509117126
15,0.12517713010311127,0.04806075245141983,0.024631639942526817,9.999999747378752e-05,0.5385242104530334,0.9759032726287842,0.43191245198249817,0.9797745943069458,0.13112156093120575,0.045927178114652634,0.023511262610554695,0.5426578521728516,0.9724636077880859,0.41458314657211304,0.9765816330909729
16,0.11716543138027191,0.05188409611582756,0.02664044499397278,9.999999747378752e-05,0.5326412916183472,0.9756776690483093,0.46149522066116333,0.979257345199585,0.11535439640283585,0.050504352897405624,0.025913942605257034,0.532425045967102,0.9778916239738464,0.4230636954307556,0.9820110201835632
17,0.11455297470092773,0.055233586579561234,0.02840930037200451,9.999999747378752e-05,0.5296685099601746,0.9747132062911987,0.4739241302013397,0.9782761335372925,0.09893164783716202,0.04713914915919304,0.024145234376192093,0.5258962512016296,0.9825013279914856,0.2823183834552765,0.9877249598503113
18,0.11054565757513046,0.058315787464380264,0.030045371502637863,9.999999747378752e-05,0.5261356830596924,0.9743898510932922,0.4835294783115387,0.9778687953948975,0.10079851746559143,0.05539146065711975,0.028496915474534035,0.5228111743927002,0.98126220703125,0.38762515783309937,0.9855857491493225
